TweetID, Weekday, Hour, Day, Lang, IsReshare, Reach, RetweetCount, Likes, Klout, Sentiment, text, LocationID, UserID
tw-709871356049891328,Tuesday,16.0,15.0,en,False,538696.0,93.0,64.0,72.0,0.0,Now available: AWS Database Migration Service! Migrate DBs to AWS with just a few clicks! http://aws.amazon.com/dms/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=dms_ga&sc_country=global&sc_geo=global&sc_category=dms&adbsc=social_20160315_59385256 http://twitter.com/awscloud/status/709871356049891328/photo/1,3751.0,tw-66780587
tw-696747652625502208,Monday,10.0,8.0,en,False,489878.0,37.0,63.0,72.0,0.0,New on the @AWS_Partners blog Terraform: Beyond the Basics with #AWS featuring @hashicorp: https://aws.amazon.com/blogs/apn/terraform-beyond-the-basics-with-aws/?adbsc=social_20160208_57973226&adbid=696747652625502208&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/696747652625502208/photo/1,3751.0,tw-66780587
tw-710851984257998849,Friday,9.0,18.0,en,False,541659.0,58.0,63.0,72.0,0.0,New on the #BigData Blog: Analyze a Time Series in Real Time on AWS http://blogs.aws.amazon.com/bigdata/post/Tx148NMGPIJ6F6F/Analyze-a-Time-Series-in-Real-Time-with-AWS-Lambda-Amazon-Kinesis-and-Amazon-Dyn?adbsc=social_blogs_20160318_59458386&adbid=710851984257998849&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/710851984257998849/photo/1,3751.0,tw-66780587
tw-715942363948974080,Friday,10.0,1.0,en,False,557713.0,43.0,63.0,73.0,0.0,Learn how @ipinfoio went from completing side projects to 250M daily requests using AWS. https://medium.com/get-put-post/from-side-project-to-250-million-daily-requests-909b9e373d94?adbsc=social_blogs_20160401_60011036&adbid=715942363948974080&adbpl=tw&adbpr=66780587#.454f3hjv9 http://twitter.com/awscloud/status/715942363948974080/photo/1,3751.0,tw-66780587
tw-706970266446901248,Monday,15.0,7.0,en,False,529247.0,44.0,62.0,72.0,0.0,Now create repository triggers for AWS Lambda &amp; Amazon SNS in AWS CodeCommit. https://aws.amazon.com/about-aws/whats-new/2016/03/aws-codecommit-adds-repository-triggers/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=new_repository_triggers&sc_country=global&sc_geo=global&sc_category=codecommit&adbsc=social_launches_20160307_59070776&adbid=706970266446901248&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/706970266446901248/photo/1,3751.0,tw-66780587
tw-711253686522019840,Saturday,12.0,19.0,en,False,542714.0,73.0,62.0,73.0,0.0,You can now use Snowball to export data from Amazon S3 to your data center: http://docs.aws.amazon.com/AWSImportExport/latest/DG/create-export-job-steps.html?adbsc=docs_20160319_59188116&adbid=711253686522019840&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/711253686522019840/photo/1,3751.0,tw-66780587
tw-711621861923160068,Sunday,12.0,20.0,en,False,543738.0,53.0,62.0,73.0,2.0,#AWS #CloudFormation now supports Amazon Elasticsearch Service. Learn more: http://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-elasticsearch-domain.html?adbsc=docs_20160320_59188396&adbid=711621861923160068&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/711621861923160068/photo/1,3751.0,tw-66780587
tw-692149535414579202,Tuesday,17.0,26.0,en,False,472231.0,43.0,61.0,71.0,0.0,Deploy Docker images in ECR to single-container &amp; multicontainer platforms. How to: http://docs.aws.amazon.com/elasticbeanstalk/latest/dg/create_deploy_docker.html?adbsc=docs_20160127_57448266#docker-images http://twitter.com/awscloud/status/692149535414579202/photo/1,3751.0,tw-66780587
tw-703286986207920128,Friday,11.0,26.0,en,False,514668.0,46.0,61.0,72.0,0.0,New on the #AWS Compute blog: Using Amazon API Gateway as a proxy for DynamoDB https://aws.amazon.com/blogs/compute/using-amazon-api-gateway-as-a-proxy-for-dynamodb/?sc_channel=sm&sc_campaign=compute_blog&sc_publisher=tw_go&sc_content=api_gateway_proxy_for_dynamodb&sc_country=global&sc_geo=global&sc_category=api-gateway&adbsc=social_blogs_20160226_58710146&adbid=703286986207920128&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/703286986207920128/photo/1,3751.0,tw-66780587
tw-706951091737350144,Monday,14.0,7.0,en,False,529181.0,35.0,60.0,72.0,0.0,Learn about continuous delivery &amp; how it can speed up your software development process! https://aws.amazon.com/devops/continuous-delivery/?sc_channel=sm&sc_campaign=continuous_delivery&sc_publisher=tw_go&sc_country=global&sc_geo=global&sc_category=dev_ops&adbsc=social_20160307_58991166&adbid=706951091737350144&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/706951091737350144/photo/1,3751.0,tw-66780587
tw-708703615645409281,Saturday,10.0,12.0,en,False,535253.0,39.0,59.0,72.0,0.0,The #DynamoDB console now gives you 3 layouts: vertical split horizontal split &amp; full page. https://forums.aws.amazon.com/ann.jspa?annID=3598&adbsc=social_20160312_59190056&adbid=708703615645409281&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/708703615645409281/photo/1,3751.0,tw-66780587
tw-687743919149330432,Thursday,14.0,14.0,en,False,457184.0,54.0,58.0,71.0,0.0,Introducing CloudWatch Events - track changes to your AWS resources: https://aws.amazon.com/blogs/aws/new-cloudwatch-events-track-and-respond-to-changes-to-your-aws-resources/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=general_launch&sc_country=global&sc_geo=global&sc_category=cw_events&adbsc=social_launches_20160114_57273616&adbid=687743919149330432&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/687743919149330432/photo/1,3751.0,tw-66780587
tw-700500614720016388,Thursday,19.0,18.0,en,False,503940.0,54.0,58.0,71.0,0.0,New on the AWS #BigData Blog Process Amazon Kinesis Aggregated Data with AWS Lambda http://blogs.aws.amazon.com/bigdata/post/Tx2JKA8KSZSJ5FF/Process-Amazon-Kinesis-Aggregated-Data-with-AWS-Lambda?adbsc=social_blogs_20160219_58425086 http://twitter.com/awscloud/status/700500614720016388/photo/1,3751.0,tw-66780587
tw-707143904231972865,Tuesday,3.0,8.0,en,False,529735.0,67.0,58.0,72.0,3.0,We are excited to announce AWS EU Ireland as a carbon-neutral Region our 4th worldwide! http://aws.amazon.com/about-aws/sustainability/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=eu_carbon_neutral&sc_country=global&sc_geo=global&sc_category=launch&adbsc=social_launches_20160308_59071336&adbid=707143904231972865&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/707143904231972865/photo/1,3751.0,tw-66780587
tw-707386204417687552,Tuesday,19.0,8.0,en,False,530946.0,40.0,58.0,72.0,0.0,New on the AWS #BigData Blog Big Data Website Gets a Big Makeover at AWS: http://blogs.aws.amazon.com/bigdata/post/Tx2M06SI81S7TG8/Big-Data-Website-Gets-a-Big-Makeover-at-AWS?adbsc=social_blogs_20160309_59112276&adbid=707386204417687552&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/707386204417687552/photo/1,3751.0,tw-66780587
tw-709863524873277440,Tuesday,16.0,15.0,en,False,538677.0,58.0,58.0,72.0,0.0,Now reference security groups in peered VPCs in both inbound &amp; outbound rules: http://docs.aws.amazon.com/AmazonVPC/latest/PeeringGuide/working-with-vpc-peering.html?adbsc=docs_20160315_59186926#vpc-peering-security-groups http://twitter.com/awscloud/status/709863524873277440/photo/1,3751.0,tw-66780587
tw-710197651820535808,Wednesday,14.0,16.0,en,False,539738.0,79.0,57.0,72.0,0.0,AWS #IoT now integrates with Elasticsearch Service with built-in #Kibana &amp; CloudWatch: https://aws.amazon.com/about-aws/whats-new/2016/03/aws-iot-integrates-with-elasticsearch-service-and-cloudwatch/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=es_cw_iot&sc_country=global&sc_geo=global&sc_category=iot&adbsc=social_launches_20160316_59424406&adbid=710197651820535808&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/710197651820535808/photo/1,3751.0,tw-66780587
tw-685491740267024384,Friday,9.0,8.0,en,False,449085.0,54.0,56.0,71.0,2.0,Route 53s domain registration service now supports privacy protection for organizations! https://forums.aws.amazon.com/ann.jspa?annID=3469&adbsc=social_launches_20160108_57069516&adbid=685491740267024384&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/685491740267024384/photo/1,3751.0,tw-66780587
tw-698205705161957376,Friday,11.0,12.0,en,False,495457.0,19.0,56.0,71.0,0.0,Learn how to build a location-aware recommendation engine with #DynamoDB http://www.slideshare.net/AmazonWebServices/building-a-realtime-geospatialaware-recommendation-engine?adbsc=social_20160212_58210496&adbid=698205705161957376&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/698205705161957376/photo/1,3751.0,tw-66780587
tw-705439629185404930,Thursday,10.0,3.0,en,False,522924.0,44.0,56.0,72.0,1.0,Curious how @Netflix can deliver billions of hours of content? Hear its #BigData story: https://aws.amazon.com/solutions/case-studies/netflix/?sc_channel=sm&sc_campaign=gc_bd&sc_publisher=tw_go&sc_content=netlix_1&sc_country=global&sc_geo=global&sc_category=big-data&trk=global_2016_bigdata_bv&adbsc=gc_20160303_58902946&adbid=705439629185404930&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/705439629185404930/photo/1,3751.0,tw-66780587
